iter	Passed	Remaining
179	107008	487482
180	107620	486965
181	108224	486416
182	108830	485870
183	109426	485283
184	110049	484810
185	110662	484299
186	111285	483823
187	111893	483286
188	112501	482744
189	113136	482318
190	113761	481849
191	114376	481333
192	115001	480862
193	115615	480342
194	116245	479887
195	116860	479367
196	117487	478896
197	118108	478397
198	118734	477921
199	119382	477531
200	120000	477016
201	120606	476456
202	121211	475888
203	121825	475358
204	122434	474806
205	123044	474257
206	123666	473754
207	124288	473252
208	124908	472738
209	125537	472259
210	126170	471793
211	126793	471289
212	127407	470750
213	128033	470255
214	128666	469782
215	129282	469245
216	129913	468766
217	130528	468226
218	131143	467684
219	131757	467139
220	132380	466626
221	132981	466033
222	133589	465467
223	134205	464925
224	134837	464440
225	135469	463951
226	136080	463394
227	136711	462899
228	137354	462445
229	137989	461965
230	138593	461378
231	139239	460930
232	139864	460412
233	140480	459862
234	141086	459283
235	141706	458745
236	142308	458148
237	142923	457594
238	143541	457051
239	144161	456511
240	144778	455961
241	145400	455429
242	146020	454887
243	146644	454356
244	147260	453802
245	147857	453190
246	148470	452625
247	149099	452107
248	149713	451546
249	150316	450949
250	150940	450414
251	151555	449856
252	152189	449348
253	152798	448770
254	153420	448229
255	154053	447718
256	154656	447119
257	155273	446561
258	155880	445973
259	156501	445427
260	157116	444861
261	157742	444328
262	158353	443750
263	158962	443168
264	159573	442589
265	160178	441996
266	160790	441419
267	161397	440831
268	162029	440311
269	162651	439761
270	163258	439170
271	163879	438619
272	164542	438177
273	165158	437609
274	165797	437102
275	166407	436517
276	167036	435983
277	167647	435400
278	168265	434837
279	168896	434304
280	169508	433723
281	170114	433127
282	170731	432561
283	171346	431985
284	171957	431401
285	172581	430850
286	173211	430312
287	173832	429752
288	174460	429209
289	175072	428624
290	175687	428049
291	176297	427462
292	176929	426926
293	177539	426335
294	178134	425711
295	178748	425132
296	179366	424561
297	179999	424025
298	180625	423473
299	181257	422934
300	181886	422388
301	182489	421780
302	183102	421195
303	183723	420630
304	184335	420042
305	184967	419502
306	185590	418937
307	186210	418368
308	186841	417824
309	187472	417277
310	188124	416777
311	188760	416241
312	189374	415656
313	189985	415063
314	190592	414462
315	191200	413864
316	191808	413265
317	192407	412647
318	193017	412053
319	193626	411456
320	194244	410878
321	194869	410315
322	195483	409728
323	196103	409154
324	196738	408611
325	197357	408034
326	197967	407437
327	198600	406889
328	199213	406298
329	199841	405739
330	200467	405174
331	201086	404596
332	201696	403999
333	202350	403489
334	202959	402889
335	203573	402300
336	204188	401711
337	204797	401111
338	205403	400505
339	206004	399892
340	206619	399301
341	207246	398738
342	207861	398148
343	208485	397576
344	209104	396996
345	209722	396411
346	210336	395820
347	210974	395274
348	211596	394696
349	212212	394109
350	212841	393545
351	213456	392953
352	214067	392356
353	214680	391761
354	215304	391187
355	215947	390646
356	216581	390089
357	217179	389467
358	217797	388880
359	218398	388264
360	219023	387689
361	219636	387094
362	220292	386573
363	220906	385978
364	221514	385374
365	222130	384784
366	222743	384187
367	223377	383626
368	224005	383055
369	224636	382489
370	225271	381929
371	225870	381308
372	226497	380734
373	227109	380134
374	227712	379521
375	228329	378930
376	228941	378329
377	229554	377732
378	230175	377147
379	230784	376543
380	231385	375925
381	232027	375374
382	232661	374810
383	233290	374237
384	233906	373642
385	234512	373033
386	235128	372438
387	235761	371871
388	236373	371270
389	236980	370661
390	237588	370054
391	238203	369457
392	238819	368863
393	239419	368244
394	240046	367666
395	240661	367069
396	241296	366503
397	241924	365926
